ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
00624,72,111,730700,72111730700,4477,1663,21091128,21070970,26241,9905,114316394,111791516,4477,1663,21091128,21070970,17.06,16.79,18.45,18.85,100,100,100,100
00624,72,111,730800,72111730800,2072,802,17418400,14941609,26241,9905,114316394,111791516,2074,803,34738038,23175005,7.9,8.1,15.24,13.37,99.9,99.88,50.14,64.47
00624,72,113,073001,72113073001,1521,522,2131299,2128741,26241,9905,114316394,111791516,3734,1389,18866679,18863661,5.8,5.27,1.86,1.9,40.73,37.58,11.3,11.28
00624,72,113,073002,72113073002,440,164,2337506,2337506,26241,9905,114316394,111791516,5359,2307,24576104,11929822,1.68,1.66,2.04,2.09,8.21,7.11,9.51,19.59
00627,72,027,320100,72027320100,2830,1430,2760486,1852707,35159,14431,123565360,120058334,2830,1430,2760486,1852707,8.05,9.91,2.23,1.54,100,100,100,100
00627,72,027,320200,72027320200,6832,2771,13271396,10698599,35159,14431,123565360,120058334,6832,2771,13271396,10698599,19.43,19.2,10.74,8.91,100,100,100,100
00627,72,027,320300,72027320300,7911,3106,22254246,22251308,35159,14431,123565360,120058334,7911,3106,22254246,22251308,22.5,21.52,18.01,18.53,100,100,100,100
00627,72,027,320401,72027320401,4464,1813,4117570,4115584,35159,14431,123565360,120058334,4464,1813,4117570,4115584,12.7,12.56,3.33,3.43,100,100,100,100
00627,72,027,320402,72027320402,3651,1500,10201674,10201674,35159,14431,123565360,120058334,3651,1500,10201674,10201674,10.38,10.39,8.26,8.5,100,100,100,100
00627,72,027,320500,72027320500,4652,1870,45159649,45156214,35159,14431,123565360,120058334,4652,1870,45159649,45156214,13.23,12.96,36.55,37.61,100,100,100,100
00627,72,027,320600,72027320600,4819,1941,25800339,25782248,35159,14431,123565360,120058334,4819,1941,25800339,25782248,13.71,13.45,20.88,21.47,100,100,100,100
00631,72,001,956400,72001956400,611,257,4952120,4699623,1852,842,11084632,10414662,2995,1294,37782601,37191697,32.99,30.52,44.68,45.13,20.4,19.86,13.11,12.64
00631,72,081,958400,72081958400,1241,585,6132512,5715039,1852,842,11084632,10414662,2248,1018,29861649,29379931,67.01,69.48,55.32,54.87,55.2,57.47,20.54,19.45
00637,72,121,960300,72121960300,6367,2699,47488003,47486753,25287,10962,89251345,89226022,6456,2737,54167809,54166559,25.18,24.62,53.21,53.22,98.62,98.61,87.67,87.67
