"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,,"QUEENS",,,,,"135.4","In Compliance ","1","112000","69","365.6",,,"Not Available",,"4004090001","Office","2646892","4004951","112589","None","61","145.8","  41 AVENUE         ","    22-19","501","58.9","143.1","11101"
"Yes","Yes",,,"QUEENS",,,,,"611.7","In Compliance ","1","119287","39","205.9",,,"Not Available",,"4022230020","Multifamily Housing","2729918","4052343","125251","None","111.8","158.8","  70 ROAD           ","   108-48","817.6","111.7","158.7","11375"
"Yes","Yes",,,"QUEENS",,,,,"43.3","In Compliance ","1","100947","100","125.8",,,"Not Available",,"4098340056","Multifamily Housing","2729926","4210397","105994","None","22","53","  88 AVENUE         ","   175-21","169.1","21.8","52.4","11432"
"Yes","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","54600","92","41.7",,,"Not Available",,"4026020102","Non-Refrigerated Warehouse","4472403","4848743","54600","None","9.2","28.9","  48 STREET         ","    56-45","41.7","9.1","28.5","11378"
"No","Yes",,,"QUEENS",,,,,"80.2","In Compliance ","1","135350","100","633.9",,,"34.94",,"4093630008","Senior Care Community","2641788","4587687","144700","Manual","63.3","176.8"," 135 STREET         ","    89-40","714.1","62.4","174.8","11418"
"Yes","Yes",,,"BRONX               ",,,,,"370.9","In Compliance ","1","82218","66","85.6",,,"Not Available",,"2033130029","Multifamily Housing","4043338","2017398","95921","None","83.6","110.2","EAST MOSHOLU PARKWAY","100","456.6","80.2","106.8","10458"
"No","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","75000","Not Available","84.1",,,"Not Available",,"4002550016","Other","3086594","4003455","75000","None","13.5","42.5","  34 STREET         ","    48-40","84.1","13.5","42.5","11101"
"No","Yes",,,"QUEENS",,,,,"124.1","In Compliance ","1","94380","100","55.1",,,"10.4",,"4018720007","K-12 School","2967701","4046340","94380","Manual","31.8","48.1","  92 STREET         ","    56-25","179.2","29.5","45.5","11373"
"No","Yes",,,"QUEENS",,,,,"424.3","In Compliance ","1","206000","93","637.7",,,"Not Available",,"4002520001","Office","3099609","4003446","216300","None","62","138.3","  48 AVENUE         ","    32-35","1062","56.4","132.7","11101"
"No","Yes",,,"QUEENS",,,,,"11.4","In Compliance ","1","52000","Not Available","16",,,"Not Available",,"4004100019","Other","3319843","4004969","60000","None","6.8","13.8","  40 AVENUE         ","    21-02","27.3","6.5","13.4","11101"
"Yes","Yes",,,"QUEENS",,,,,"363.6","In Compliance ","1","85422","76","88",,,"31.23",,"4005790082","Multifamily Housing","3523309","4007122","93964","ABS","84.1","112","  29 STREET         ","    31-62","451.6","80","107.8","11106"
"Yes","Yes",,,"QUEENS",,,,,"465.6","In Compliance ","1","91000","59","89.5",,,"Not Available",,"4012800012","Multifamily Housing","3535360","4029674","106166","None","86.9","111.9","  81 STREET         ","    35-30","555","76.3","100.8","11372"
"Yes","Yes",,,"BROOKLYN            ",,,,,"83.5","In Compliance ","1","111978","Not Available","45.2",,,"Not Available",,"3044080001","Self-Storage Facility","4047780","3256632","110896","None","19.1","30.3","FLATLANDS AVENUE    ","1205","128.7","17.4","28.6","11234"
"No","Yes",,,"QUEENS",,,,,"976","In Compliance ","1","436814","89","1387.2",,,"18.17",,"4002140210","Office","4219041","4003105","444606","Manual","68","148.9","NORTHERN BOULEVARD  ","    33-00","2363.2","63.4","143.7","11101"
"No","Yes",,,"MANHATTAN",,,,,"1165.6","In Compliance ","1","232631","27","422.2",,,"Not Available",,"1008687502","Multifamily Housing","4405697","1017361","189595","None","108.8","167.2","                    ",,"1587.8","100.8","156.5",
"No","Yes",,,"QUEENS",,,,,"459.8","In Compliance ","1","167217","94","186.2",,,"Not Available",,"4021197501","Multifamily Housing","4408017","4307726","167196","None","65.2","96.5","QUEENS BOULEVARD    ","   100-25","646","63","94.4","11375"
"Yes","Yes",,,"QUEENS",,,,,"137","In Compliance ","1","50996","95","37.7",,,"32.2",,"4012667501","Multifamily Housing","4412049","4029148","53496","ABS","56.7","77.3","  35 AVENUE         ","    79-15","174.7","54.9","75.5","11372"
"Yes","Yes",,,"BRONX               ",,,,,"0","In Compliance ","1","556968","Not Available","200.3",,,"Not Available",,"2024900001","Parking","4415003","2003018","287720","None","8.4","26.4","RIVER AVENUE        ","45","200.3","8.4","26.4","10451"
"Yes","Yes",,,"QUEENS",,,,,"582.8","In Compliance ","1","141728","57","185.4",,,"37.25",,"4021340032","Multifamily Housing","4408018","4051257","141728","ABS","89.9","127","YELLOWSTONE BLVD    ","    67-12","768.2","87.3","124.6","11375"
"No","Yes",,,"MANHATTAN",,,,,"421","In Compliance ","1","173838","Not Available","355.3",,,"Not Available",,"1004810001","Multifamily Housing","4408614","1007193","177488","None","68.8","122.7","CLEVELAND PLACE     ","400","776.3","66.5","120.5","10012"
"No","Yes",,,"BRONX               ",,,,,"0","In Compliance ","1","90742","0","0",,,"0",,"2024430091","Not Available","4410005","0","0","Manual","0","0","CONCOURSE VILLIAGE W","820","0","0","0",
"No","Yes",,,"BROOKLYN            ",,,,,"0","In Compliance ","1","120000","Not Available","50.5",,,"0",,"3087208001","Parking","2962144","3848215","96000","Manual","6.3","19.9","SEACOAST TERRACE    ",,"50.5","6.3","19.8",
"Yes","Yes",,,"QUEENS",,,,,"29.8","In Compliance ","1","307297","93","1018",,,"0.86",,"4020920001","Office","2688580","4050482","300935","ABS","42.7","130","QUEENS BOULEVARD    ","    97-77","1047.9","42.5","129.5","11374"
"Yes","Yes",,,"QUEENS",,,,,"169.2","In Compliance ","1","57721","55","245.3",,,"25.38",,"4097570023","Office","2812752","4208850","63492","ABS","96.7","198.9"," 160 STREET         ","    90-04","414.5","92.7","193.6","11432"
"No","Yes",,"1035348","MANHATTAN","94",,"5","4","0","In Compliance ","1","733001","82","5309.8","40.753383","-73.978871","12.96","Midtown-Midtown South                                                      ","1012770014","Office","1457889","1035348","859682","Manual","78.1","210.2","MADISON AVENUE      ","330","5309.8","76.2","207.9","10017"
"Yes","Yes",,,"QUEENS",,,,,"3159.8","In Compliance ","1","168571","1","1198.7",,,"590.33",,"4040650001","Non-Refrigerated Warehouse","2539023","4098135","160000","Manual","462.2","674.1","  15 AVENUE         ","   112-02","4358.5","462.2","674.1","11356"
"No","Yes",,"1036195","MANHATTAN","92",,"6","4","0","In Compliance ","1","665110","84","4445.4","40.753104","-73.972757","Not Available","Turtle Bay-East Midtown                                                    ","1013000033","Office","1200524","1036195","627731","None","91.5","227.7","   3 AVENUE         ","730","4445.4","90","226.1","10017"
"No","Yes",,"1035771","MANHATTAN","102",,"5","4","0","In Compliance ","1","528562","76","3981.2","40.760718","-73.972642","Not Available","Midtown-Midtown South                                                      ","1012910028","Office","1513225","1035771","619631","None","81.4","217.4","EAST   55 STREET    ","65","3981.2","79.4","215.3","10022"
"No","Yes",,"1035401","MANHATTAN","94",,"5","4","0","In Compliance ","1","206378","81","1332.9","40.755842","-73.979152","Not Available","Midtown-Midtown South                                                      ","1012810069","Office","1536164","1035401","243294","None","68.3","193","   5 AVENUE         ","553","1332.9","67.1","191.9","10017"
"No","Yes",,,"QUEENS",,,,,"821.2","In Compliance ","2","115212","66","184.3",,,"Not Available",,"4065270050","Multifamily Housing","4034602","4450395","120212","None","110.3","150.9","MELBOURNE AVENUE    ","   144-55","1005.5","110.1","150.5","11367"
