,Station_Longitude,Station_Name,Station_Latitude,lonlat,ZIPCODE
1054,-73.94077,135th St,40.814229,"(-73.940770000000001, 40.814228999999997)",10030
1055,-73.94077,135th St,40.814229,"(-73.940770000000001, 40.814228999999997)",10030
1712,-73.94077,135th St,40.814229,"(-73.940770000000001, 40.814228999999997)",10030
1713,-73.94077,135th St,40.814229,"(-73.940770000000001, 40.814228999999997)",10030
1784,-73.936245,145th St,40.820421,"(-73.936245, 40.820421000000003)",10030
1785,-73.936245,145th St,40.820421,"(-73.936245, 40.820421000000003)",10030
1061,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1062,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1063,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1064,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1065,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1831,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1832,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1833,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1834,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1835,-73.83003000000001,Flushing-Main St,40.7596,"(-73.830030000000008, 40.759599999999999)",11354
1066,-73.845625,Mets - Willets Point,40.754622,"(-73.845624999999998, 40.754621999999998)",11368
1067,-73.845625,Mets - Willets Point,40.754622,"(-73.845624999999998, 40.754621999999998)",11368
1068,-73.845625,Mets - Willets Point,40.754622,"(-73.845624999999998, 40.754621999999998)",11368
1069,-73.845625,Mets - Willets Point,40.754622,"(-73.845624999999998, 40.754621999999998)",11368
1070,-73.855334,111th St,40.75173,"(-73.855333999999999, 40.751730000000002)",11368
1071,-73.855334,111th St,40.75173,"(-73.855333999999999, 40.751730000000002)",11368
1072,-73.855334,111th St,40.75173,"(-73.855333999999999, 40.751730000000002)",11368
1073,-73.8627,103rd St,40.749865,"(-73.862700000000004, 40.749865)",11368
1074,-73.8627,103rd St,40.749865,"(-73.862700000000004, 40.749865)",11368
1075,-73.8627,103rd St,40.749865,"(-73.862700000000004, 40.749865)",11368
1076,-73.8627,103rd St,40.749865,"(-73.862700000000004, 40.749865)",11368
1077,-73.869527,Junction Blvd,40.749145,"(-73.869527000000005, 40.749144999999999)",11372
1078,-73.869527,Junction Blvd,40.749145,"(-73.869527000000005, 40.749144999999999)",11372
1079,-73.869527,Junction Blvd,40.749145,"(-73.869527000000005, 40.749144999999999)",11372
1080,-73.869527,Junction Blvd,40.749145,"(-73.869527000000005, 40.749144999999999)",11372
1081,-73.869527,Junction Blvd,40.749145,"(-73.869527000000005, 40.749144999999999)",11372
1082,-73.876613,90th St Elmhurst,40.748408000000005,"(-73.876613000000006, 40.748408000000005)",11372
1083,-73.876613,90th St Elmhurst,40.748408000000005,"(-73.876613000000006, 40.748408000000005)",11372
1084,-73.876613,90th St Elmhurst,40.748408000000005,"(-73.876613000000006, 40.748408000000005)",11372
1085,-73.883697,82nd St-Jackson Heights,40.747659000000006,"(-73.883696999999998, 40.747659000000006)",11372
1086,-73.883697,82nd St-Jackson Heights,40.747659000000006,"(-73.883696999999998, 40.747659000000006)",11372
1087,-73.883697,82nd St-Jackson Heights,40.747659000000006,"(-73.883696999999998, 40.747659000000006)",11372
1097,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1098,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1099,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1100,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1101,-73.92401600000001,Lowery St-40th St,40.743781,"(-73.924016000000009, 40.743780999999998)",11104
1102,-73.92401600000001,Lowery St-40th St,40.743781,"(-73.924016000000009, 40.743780999999998)",11104
1103,-73.92401600000001,Lowery St-40th St,40.743781,"(-73.924016000000009, 40.743780999999998)",11104
1104,-73.92401600000001,Lowery St-40th St,40.743781,"(-73.924016000000009, 40.743780999999998)",11104
1720,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1721,-73.918435,Bliss St-46th St,40.743132,"(-73.918435000000002, 40.743132000000003)",11104
1655,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1656,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1657,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1658,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1728,-73.97604100000001,Grand Central-42nd St,40.751431,"(-73.976041000000009, 40.751430999999997)",10017
1730,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1731,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1732,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1733,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1734,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1761,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1762,-73.979189,Grand Central,40.752769,"(-73.979189000000005, 40.752769000000001)",10017
1783,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1823,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1824,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1825,-73.976848,Grand Central-42nd St,40.751776,"(-73.976848000000004, 40.751776)",10017
1786,-73.83859100000001,Baychester Av,40.878663,"(-73.838591000000008, 40.878663000000003)",10469
1787,-73.846384,Gun Hill Rd,40.869526,"(-73.846384, 40.869526)",10469
1827,-73.83859100000001,Baychester Av,40.878663,"(-73.838591000000008, 40.878663000000003)",10469
1828,-73.846384,Gun Hill Rd,40.869526,"(-73.846384, 40.869526)",10469
1829,-73.85535899999999,Pelham Parkway,40.858985,"(-73.855358999999993, 40.858984999999997)",10469
