,name,boro,zip,link,state,latlng,lat,lng
100,"Bronx Independent Living Services, Inc. Bronx",Bronx,10457,https://www.shelterlistings.org/details/24893/,NY,"40.8519940,-73.8932530",40.8519940,-73.8932530
101,Mothers On The Move Inc Bronx,Bronx,10459,https://www.shelterlistings.org/details/24902/,NY,"40.8201617,-73.8967049",40.8201617,-73.8967049
102,Helping Hands For Immigrants Integration Inc Bronx,Bronx,10469,https://www.shelterlistings.org/details/24932/,NY,"40.8721320,-73.8385459",40.8721320,-73.8385459
103,"Greenpath, Inc. Bronx",Bronx,10461,https://www.shelterlistings.org/details/27379/,NY,"40.8522302,-73.8281341",40.8522302,-73.8281341
104,Neighborhood Housing Services Of North Bronx Bronx,Bronx,10469,https://www.shelterlistings.org/details/27380/,NY,"40.8731748,-73.8532088",40.8731748,-73.8532088
105,Neighborhood Housing Services Of South Bronx Bronx,Bronx,10451,https://www.shelterlistings.org/details/27381/,NY,"40.8251942,-73.9205388",40.8251942,-73.9205388
106,New York City Commission On Human Rights Bronx,Bronx,10457,https://www.shelterlistings.org/details/27382/,NY,"40.8458249,-73.8929185",40.8458249,-73.8929185
107,Covenant House New York - Bronx Community Resource Center,Bronx,10452,https://www.shelterlistings.org/details/20192/,NY,"40.8464594,-73.9176781",40.8464594,-73.9176781
108,Help Usa - Help Bronx Crotona,Bronx,10460,https://www.shelterlistings.org/details/21188/,NY,"40.8407168,-73.8915100",40.8407168,-73.8915100
109,Help Usa - Help Bronx Morris Avenue,Bronx,10457,https://www.shelterlistings.org/details/21189/,NY,"40.8388867,-73.9102700",40.8388867,-73.9102700
110,Alianza Afro-latina Islamica Queens,Queens,11429,https://www.shelterlistings.org/details/24747/,NY,"40.7080840,-73.7373410",40.7080840,-73.7373410
111,Covenant House New York - Rights Of Passage (for Ages 18 To 21 And Children),Manhattan,10011,https://www.shelterlistings.org/details/20195/,NY,"40.7422920,-74.0034189",40.7422920,-74.0034189
112,Fountain House,New York,10036,https://www.shelterlistings.org/details/30144/,NY,"40.7621030,-73.9914248",40.7621030,-73.9914248
